STRID,EPISODE,DESCRIPTION,got1,got2,completed1,completed2,null1,null2,failed,XP,NAME1,NAME2,BUILDINGS,HUMANS,MARKERS,SUB
quest_norcity_killmaster2a,,,,,,,,,,900,Мастер ниндзя просит разобраться с Юни Яном.,Мастер ниндзя просит разобраться с Юни Яном.,,norcity_q_yellow_killmaster,,2
quest_norcity_killmaster2a_1,,,,,,,,,,,Убить Юни Яна.,Убить Юни Яна.,,norcity_yellow_kill2,,-1
quest_norcity_killmaster2a_2,,,,,,,,,,,Доложить о выполнении задания.,Доложить о выполнении задания.,,,,-1
quest_norcity_killmaster3a,,,,,,,,,,900,Мастер ниндзя просит разобраться с Ван Сэй Даном.,Мастер ниндзя просит разобраться с Ван Сэй Даном.,,norcity_q_yellow_killmaster,,2
quest_norcity_killmaster3a_1,,,,,,,,,,,Убить Ван Сэй Дана.,Убить Ван Сэй Дана.,,norcity_yellow_kill3,,-1
quest_norcity_killmaster3a_2,,,,,,,,,,,Доложить о выполнении задания.,Доложить о выполнении задания.,,,,-1
quest_norcity_steal1a,,,,,,,,,,700,Украсть китайский меч.,Украсть китайский меч.,,norcity_q_yellow_stealmaster,"ycenter,80,43",
quest_norcity_steal2a,,,,,,,,,,900,Украсть ПП Лобзик+.,Украсть ПП Лобзик+.,"yharbor,YELLOW_BROTHEL_02",norcity_q_yellow_stealmaster,,
quest_norcity_steal3a,,,,,,,,,,700,Подбросить в сундук арийский китель.,Подбросить в сундук арийский китель.,,norcity_q_yellow_stealmaster,"ynorth,15,66",
quest_norcity_steal4a,,,,,,,,,,800,Украсть у Васай Бо амулет.,Украсть у Васай Бо амулет.,,"norcity_q_yellow_stealmaster,norcity_yellow_steal4",,
quest_fight01_cleanup,,,,,,,,,,100,Помочь Лосю зачистить деревню и освободить Лохматого.,Помочь Лосю зачистить деревню и освободить Лохматого.,,,-,0
quest_fight01_chest,,,,,,,,,,100,Забрать вознаграждение из сундука на кладбище.,Забрать вознаграждение из сундука на кладбище.,,,"fight01,11,42",0
quest_fight02_cleanup,,,,,,,,,,200,Разведать обстановку на старом тракте.,Разведать обстановку на старом тракте.,,,-,2
quest_fight02_cleanup_1,,,,,,,,,,150,Отбить обоз у бандитов.,Отбить обоз у бандитов.,,,-,-1
quest_fight02_cleanup_2,,,,,,,,,,150,Уничтожить бандитов в лагере.,Уничтожить бандитов в лагере.,,,"fight02,23,66",-1
quest_fight03_cleanup,,,,,,,,,,300,Востановить справедливость в логове работорговцев.,Востановить справедливость в логове работорговцев.,,,-,3
quest_fight03_cleanup_1,,,,,,,,,,200,Помочь Мартину.,Помочь Мартину.,,rafi03_Marten,-,-1
quest_fight03_cleanup_2,,,,,,,,,,200,Помочь Лютеру.,Помочь Лютеру.,,rafi03_Luter,-,-1
quest_fight03_cleanup_3,,,,,,,,,,200,Помочь Кингу.,Помочь Кингу.,,rafi03_King,-,-1
quest_fight03_chest,,,,,,,,,,200,Обыскать сундук неподалёку от логова работорговцев.,Обыскать сундук неподалёку от логова работорговцев.,,,"fight03,52,31",0
quest_fight04_cleanup,,,,,,,,,,500,Уничтожить всех мародеров.,Уничтожить всех мародеров.,,,-,4
quest_fight04_cleanup_1,,,,,,,,,,300,Найти место крушения посадочной капсулы.,Найти место крушения посадочной капсулы.,,,"fight04,24,54",-1
quest_fight04_cleanup_2,,,,,,,,,,300,Найти место падения шара с ботинками.,Найти место падения шара с ботинками.,,,"fight04,74,63",-1
quest_fight04_cleanup_3,,,,,,,,,,300,Найти место падения шара с презервативами.,Найти место падения шара с презервативами.,,,"fight04,67,17",-1
quest_fight04_cleanup_4,,,,,,,,,,300,Найти стоянку мародеров.,Найти стоянку мародеров.,,,"fight04,49,62",-1
quest_fight05_cleanup,,,,,,,,,,600,Зачистить бандитскую деревню.,Зачистить бандитскую деревню.,,,-,4
quest_fight05_cleanup_1,,,,,,,,,,400,Ликвидировать патрули.,Ликвидировать патрули.,,"rafi05_FightLev8_Patrol1,rafi05_FightLev8_Patrol4",-,-1
quest_fight05_cleanup_2,,,,,,,,,,400,Проникнуть во вражеский лагерь.,Проникнуть во вражеский лагерь.,,,-,-1
quest_fight05_cleanup_3,,,,,,,,,,400,Убить главаря.,Убить главаря.,,rafi05_SaboteurLev12_BanditLeader,-,-1
quest_fight05_cleanup_4,,,,,,,,,,400,Обыскать все дома.,Обыскать все дома.,,,-,-1
quest_fight05_secret,,,,,,,,,,400,Проникнуть в дом главаря не поднимая шума в лагере.,Проникнуть в дом главаря не поднимая шума в лагере.,,,"fight05,48,51",0
quest_fight06_robbing,,,,,,,,,,800,Помочь уголовнику ограбить барыгу.,Помочь уголовнику ограбить барыгу.,,,-,4
quest_fight06_robbing_1,,,,,,,,,,500,Найти мертвых проституток.,Найти мертвых проституток.,,"rafi06_Mashenka,rafi06_Mashenka2",-,-1
quest_fight06_robbing_2,,,,,,,,,,500,Переодеться в женскую одежду и проникнуть в лагерь бандитов.,Переодеться в женскую одежду и проникнуть в лагерь бандитов.,,,-,-1
quest_fight06_robbing_3,,,,,,,,,,500,Убить главаря.,Убить главаря.,,rafi06_BanditLeader,-,-1
quest_fight06_robbing_4,,,,,,,,,,500,Вернуть наводчику процент.,Вернуть наводчику процент.,,rafi06_Mad,-,-1
quest_fight06_cleanup,,,,,,,,,,500,Уничтожить всех бандитов.,Уничтожить всех бандитов.,,,-,0
quest_fight08_message,,,,,,,,,,1000,Доставить послание главарю полицейских Шерстню.,Доставить послание главарю полицейских Шерстню.,,,-,2
quest_fight08_message_1,,,,,,,,,,600,Пройти в деревню полицейских.,Пройти в деревню полицейских.,,,-,-1
quest_fight08_message_2,,,,,,,,,,600,Передать послание Шерстню.,Передать послание Шерстню.,,rafi08_BanditLeader,-,-1
quest_fight08_escape,,,,,,,,,,600,Найти выход из сложившейся ситуации.,Найти выход из сложившейся ситуации.,,,-,2
quest_fight08_escape_1,,,,,,,,,,600,Убить Шерстня.,Убить Шерстня.,,rafi08_BanditLeader,-,-1
quest_fight08_escape_2,,,,,,,,,,600,Покинуть деревню полицейских.,Покинуть деревню полицейских.,,,"fight08,59,27",-1
quest_fight08_cleanup,,,,,,,,,,600,Зачистить местность.,Зачистить местность.,,,-,3
quest_fight08_cleanup_1,,,,,,,,,,600,Уничтожить полицейских в деревне.,Уничтожить полицейских в деревне.,,,-,-1
quest_fight08_cleanup_2,,,,,,,,,,600,Ликвидировать патрули.,Ликвидировать патрули.,,"rafi08_Fight_Patrol1,rafi08_Fight_Patrol4,rafi08_Fight_Patrol7",-,-1
quest_fight08_cleanup_3,,,,,,,,,,600,Разгромить лагерь полицейских в джунглях.,Разгромить лагерь полицейских в джунглях.,,,"fight08,68,71",-1
quest_fight11_cleanup,,,,,,,,,,2000,Помочь китайцам отбить атаку бандитов.,Помочь китайцам отбить атаку бандитов.,,,-,4
quest_fight11_cleanup_1,,,,,,,,,,1000,Уничтожить первую волну атакующих .,Уничтожить первую волну атакующих .,,,-,-1
quest_fight11_cleanup_2,,,,,,,,,,1000,Уничтожить вторую волну атакующих.,Уничтожить вторую волну атакующих.,,,-,-1
quest_fight11_cleanup_3,,,,,,,,,,1000,Уничтожить третью волну атакующих.,Уничтожить третью волну атакующих.,,,-,-1
quest_fight11_cleanup_4,,,,,,,,,,1000,Уничтожить четвертую волну атакующих.,Уничтожить четвертую волну атакующих.,,,-,-1
quest_fight11_key,,,,,,,,,,1000,Обшарить трупы китайцев и найти ключ от сундука.,Обшарить трупы китайцев и найти ключ от сундука.,,"rafi11_Chinese01,rafi11_Chinese02,rafi11_Chinese03,rafi11_Chinese04,rafi11_Chinese05","fight11,44,46",0
quest_fight11_chest,,,,,,,,,,1000,Забрать награду из сундука китайцев.,Забрать награду из сундука китайцев.,,,"fight11,44,46",0
quest_fight11_chinese,,,,,,,,,,1000,Разобраться с оборзевшими китайцами.,Разобраться с оборзевшими китайцами.,,,-,3
quest_fight11_chinese_1,,,,,,,,,,1000,Убить всех китайцев.,Убить всех китайцев.,,,-,-1
quest_fight11_chinese_2,,,,,,,,,,1000,Обыскать трупы и найти ключ.,Обыскать трупы и найти ключ.,,"rafi11_Chinese01,rafi11_Chinese02,rafi11_Chinese03,rafi11_Chinese04,rafi11_Chinese05",-,-1
quest_fight11_chinese_3,,,,,,,,,,1000,Забрать китайское добро из сундука.,Забрать китайское добро из сундука.,,,"fight11,44,46",-1
quest_fight13_cleanup,,,,,,,,,,15000,"Истребить зомби - тайное оружие арийцев, ставшее неуправляемым.","Истребить зомби - тайное оружие арийцев, ставшее неуправляемым.",,,-,0
quest_fight12_cleanup,,,,,,,,,,3000,"Освободить бойцов РДГ ""Клумба"".","Освободить бойцов РДГ ""Клумба"".",,,-,2
quest_fight12_cleanup_1,,,,,,,,,,2000,Добраться до арийского лагеря.,Добраться до арийского лагеря.,,,"fight12,71,35",-1
quest_fight12_cleanup_2,,,,,,,,,,2000,Подавить сопротивление и найти пленных диверсанток.,Подавить сопротивление и найти пленных диверсанток.,,,-,-1
quest_fight07_cleanup,,,,,,,,,,400,"Помочь работорговцам сохранить ""живой товар"".","Помочь работорговцам сохранить ""живой товар"".",,,-,4
quest_fight07_cleanup_1,,,,,,,,,,100,Спасти проституток из первой капсулы.,Спасти проституток из первой капсулы.,,,-,-1
quest_fight07_cleanup_2,,,,,,,,,,100,Спасти проституток из второй капсулы.,Спасти проституток из второй капсулы.,,,-,-1
quest_fight07_cleanup_3,,,,,,,,,,100,Спасти проституток из третьей капсулы.,Спасти проституток из третьей капсулы.,,,-,-1
quest_fight07_cleanup_4,,,,,,,,,,100,Доставить проституток в лагерь работорговцев.,Доставить проституток в лагерь работорговцев.,,,"fight07,64,32",-1
quest_fight15_penetration,,,,,,,,,,5000,Найти способ проникнуть на охраняемую территорию.,Найти способ проникнуть на охраняемую территорию.,,,"fight15,46,69",0
quest_fight15_scout,,,,,,,,,,5000,Разведать местность.,Разведать местность.,,,-,2
quest_fight15_scout_1,,,,,,,,,,5000,Уничтожить патруль.,Уничтожить патруль.,,"rafi15_shot10,rafi15_fight01,rafi15_shot01",-,-1
quest_fight15_scout_2,,,,,,,,,,5000,Уничтожить охрану поселка.,Уничтожить охрану поселка.,,"rafi15_fight02,rafi15_eliteshot01,rafi15_fight03,rafi15_shot02,rafi15_shot08",-,-1
quest_fight15_laboratory,,,,,,,,,,5000,"Нейтрализовать роботов, созданных в секретной лаборатории.","Нейтрализовать роботов, созданных в секретной лаборатории.",,,-,4
quest_fight15_laboratory_1,,,,,,,,,,5000,Отбить атаку.,Отбить атаку.,,,-,-1
quest_fight15_laboratory_2,,,,,,,,,,5000,Сопроводить электрика к трансформатору.,Сопроводить электрика к трансформатору.,,rafi15_aryan_electrician,"fight15,84,77",-1
quest_fight15_laboratory_3,,,,,,,,,,5000,Уничтожить всех врагов.,Уничтожить всех врагов.,,,-,-1
quest_fight15_laboratory_4,,,,,,,,,,5000,Уничтожить роботов.,Уничтожить роботов.,,,-,-1
quest_fight15_cleanup,,,,,,,,,,5000,Зачистить местность.,Зачистить местность.,,,-,0
quest_fight10_cleanup,,,,,,,,,,1500,Прочесать ущелье.,Прочесать ущелье.,,,-,5
quest_fight10_cleanup_1,,,,,,,,,,1000,Уничтожить гориллоидов.,Уничтожить гориллоидов.,,,-,-1
quest_fight10_cleanup_2,,,,,,,,,,1000,Уничтожить патрули.,Уничтожить патрули.,,"rafi10_fight01,rafi10_fight02",-,-1
quest_fight10_cleanup_3,,,,,,,,,,1000,Зачистить западный лагерь бандитов.,Зачистить западный лагерь бандитов.,,,-,-1
quest_fight10_cleanup_4,,,,,,,,,,1000,Зачистить северный лагерь бандитов.,Зачистить северный лагерь бандитов.,,,-,-1
quest_fight10_cleanup_5,,,,,,,,,,1000,Зачистить южный лагерь лагерь бандитов.,Зачистить южный лагерь лагерь бандитов.,,,-,-1
quest_fight09_cleanup,,,,,,,,,,1000,Захватить монастырь.,Захватить монастырь.,,,-,2
quest_fight09_cleanup_1,,,,,,,,,,800,Уничтожить сектантов.,Уничтожить сектантов.,,,-,-1
quest_fight09_cleanup_2,,,,,,,,,,800,Уничтожить отца-основателя.,Уничтожить отца-основателя.,,rafi09_father,-,-1
quest_fight09_attack,,,,,,,,,,800,Отбить атаку.,Отбить атаку.,,,-,0
quest_fight09_search,,,,,,,,,,800,Найти отца-основателя.,Найти отца-основателя.,,,-,0
quest_fight14_minefield,,,,,,,,,,10000,Обезвредить минное поле из блеватонтонов.,Обезвредить минное поле из блеватонтонов.,,,-,2
quest_fight14_minefield_1,,,,,,,,,,4000,"Найти и надеть ""Полный Пэ"".","Найти и надеть ""Полный Пэ"".",,rafi14_assaultslave_pp01,-,-1
quest_fight14_minefield_2,,,,,,,,,,4000,Собрать блевантоны.,Собрать блевантоны.,,,-,-1
quest_fight14_cleanup,,,,,,,,,,4000,Убить китайцев.,Убить китайцев.,,,-,0
quest_fight14_policemen,,,,,,,,,,4000,Убить полицейских.,Убить полицейских.,,"rafi14_assault01,rafi14_assault02,rafi14_assault03,rafi14_assault04,rafi14_assault05,rafi14_assaultleader",-,0
quest_final_killall,final_final,,,,,,,,,1000000,Уничтожить всех врагов и монстров.,Уничтожить всех врагов и монстров.,,,-,0
quest_final_find_outro,final_final,,,,,,,,,1000000,Добраться до эвакуационного челнока.,Добраться до эвакуационного челнока.,,,"final,64,32",0
quest_blvill_kirpikli_find_lover,,,,,,,,,,800,Найти сожителя негра Кирпикли по имени Ивар.,Найти сожителя негра Кирпикли по имени Ивар.,,"blvill_q_black_Kirpikli,blnorth_q_black_Ivar",,0
quest_blnorth_killKirpikli,,,,,,,,,,800,Убить голубка Кирпикли и доложить об этом Ивару.,Убить голубка Кирпикли и доложить об этом Ивару.,,,,2
quest_blnorth_killKirpikli_1,,,,,,,,,,0,Убить Кирпикли.,Убить Кирпикли.,,blvill_q_black_Kirpikli,,-1
quest_blnorth_killKirpikli_2,,,,,,,,,,0,Доложить Ивару.,Доложить Ивару.,,blnorth_q_black_Ivar,,-1
quest_blvill_kirpikli_aliment,,,,,,,,,,800,"Выбить алименты из Ивара на содержание ""ребенка"".","Выбить алименты из Ивара на содержание ""ребенка"".",,,,2
quest_blvill_kirpikli_aliment_1,,,,,,,,,,0,Выбить алименты с Ивара.,Выбить алименты с Ивара.,,blnorth_q_black_Ivar,,-1
quest_blvill_kirpikli_aliment_2,,,,,,,,,,0,Вернутся за вознаграждением к Кирпикли.,Вернутся за вознаграждением к Кирпикли.,,blvill_q_black_Kirpikli,,-1
quest_blvill_nigers_spor,,,,,,,,,,300,Разрешить конфликт между двумя неграми из-за женщины.,Разрешить конфликт между двумя неграми из-за женщины.,,"blvill_q_black_spor1, blvill_q_black_spor2",,0
quest_academ_killmonsters,,,,,,,,,,1000,"Уничтожить монстров, окруживших хижину Академика.","Уничтожить монстров, окруживших хижину Академика.",,,,0
quest_monster01_killall,,,,,,,,,,100,Убить всех монстров крысиной рощи.,Убить всех монстров крысиной рощи.,,,,0
quest_monster02_killall,,,,,,,,,,100,Уничтожить всех диких животных.,Уничтожить всех диких животных.,,,,0
quest_monster03_killall,,,,,,,,,,100,Убить всех монстров.,Убить всех монстров.,,,,0
quest_monster04_killall,,,,,,,,,,100,Прочесать горный район.,Прочесать горный район.,,,,0
quest_monster05_killall,,,,,,,,,,100,Убить всех опасных лесных обитателей.,Убить всех опасных лесных обитателей.,,,,0
quest_monster06_killall,,,,,,,,,,100,Уничтожить всех монстров.,Уничтожить всех монстров.,,,,0
quest_monster07_killall,,,,,,,,,,100,Очистить степь от диких животных.,Очистить степь от диких животных.,,,,0
quest_monster08_killall,,,,,,,,,,100,Уничтожить всех монстров.,Уничтожить всех монстров.,,,,0
quest_monster09_killall,,,,,,,,,,100,Зачистить территорию.,Зачистить территорию.,,,,0
quest_monster10_killall,,,,,,,,,,100,Зачистить местность.,Зачистить местность.,,,,0
quest_monster11_killall,,,,,,,,,,100,Убить всех ночных обитателей дубравы.,Убить всех ночных обитателей дубравы.,,,,0
quest_monster12_killall,,,,,,,,,,100,Убить всех монстров.,Убить всех монстров.,,,,0
quest_monster13_killall,,,,,,,,,,100,Уничтожить всех опасных животных.,Уничтожить всех опасных животных.,,,,0
quest_monster14_killall,,,,,,,,,,100,Прочесать заросли.,Прочесать заросли.,,,,0
quest_monster15_killall,,,,,,,,,,100,Зачистить территорию заброшенной деревни.,Зачистить территорию заброшенной деревни.,,,,0
quest_monster01_killjerboa,,,,,,,,,,100,Убить тушканчиков и собрать 7 шкурок.,Убить тушканчиков и собрать 7 шкурок.,,,,0
quest_monster02_killjerboa,,,,,,,,,,100,Убить тушканчиков и собрать 7 шкурок.,Убить тушканчиков и собрать 7 шкурок.,,,,0
quest_monster03_killjerboa,,,,,,,,,,100,Убить тушканчиков и собрать 7 шкурок.,Убить тушканчиков и собрать 7 шкурок.,,,,0
quest_keep_hans,,,,,,,,,,100,Ганс должен выжить.,Ганс должен выжить.,,,,
quest_yelvill_addkuzbich,,,,,,,,,,1000,Добыть Кузнецу проститутку по имени Лили из северного города.,Добыть Кузнецу проститутку по имени Лили из северного города.,,"yelvill_q_yellow_kuznes, yharbor_q_yellow_kuzbich",,0
quest_yelvill_find_hammer,,,,,,,,,,1500,"Выяснить, куда делась кувалда со смещенным центром тяжести.","Выяснить, куда делась кувалда со смещенным центром тяжести.",,yelvill_q_yellow_kuznes,,5
quest_yelvill_find_hammer_1,,,,,,,,,,100,Допросить подсастерье по имени Лин.,Допросить подсастерье по имени Лин.,,yelvill_q_yellow_podmas,,-1
quest_yelvill_find_hammer_2,,,,,,,,,,100,Допросить соседа завистника по имени Сунь Джоу.,Допросить соседа завистника по имени Сунь Джоу.,,yelvill_q_yellow_sosed,,-1
quest_yelvill_find_hammer_3,,,,,,,,,,100,Допросить мастера Дан-до из Южного города.,Допросить мастера Дан-до из Южного города.,,aryannor_q_yellow_klient,,-1
quest_yelvill_find_hammer_4,,,,,,,,,,100,Найти кувалду.,Найти кувалду.,,,,-1
quest_yelvill_find_hammer_5,,,,,,,,,,100,Вернуть кувалду Кузнецу.,Вернуть кувалду Кузнецу.,,,,-1
quest_yharbor_otkup,,,,,,,,,,1500,Выкупить Лили из публичного дома.,Выкупить Лили из публичного дома.,,"yelvill_q_yellow_kuzbich,norcity_yellow_steal4",,0
quest_yelvill_kill_kondrat,,,,,,,,,,200,Убить желтозадого монаха в Северном городе.,Убить желтозадого монаха в Северном городе.,,yelvill_q_yellow_pofig,,2
quest_yelvill_kill_kondrat_1,,,,,,,,,,100,Убить желтозадого.,Убить желтозадого.,,norcity_q_yellow_kondrat,,-1
quest_yelvill_kill_kondrat_2,,,,,,,,,,,Вернуться за вознаграждением.,Вернуться за вознаграждением.,,yelvill_q_yellow_pofig,,-1
quest_norcity_kill_pofig,,,,,,,,,,200,Убить мастера Дзен из деревни Цзиньту.,Убить мастера Дзен из деревни Цзиньту.,,norcity_q_yellow_kondrat,,2
quest_norcity_kill_pofig_1,,,,,,,,,,100,Убить мастера Дзен.,Убить мастера Дзен.,,yelvill_q_yellow_pofig,,-1
quest_norcity_kill_pofig_2,,,,,,,,,,,Вернуться за вознаграждением.,Вернуться за вознаграждением.,,norcity_q_yellow_kondrat,,-1
quest_clothes_entry_nude,,,,,,,,,,50,Принести голому человеку одежду.,Принести голому человеку одежду.,,entry_q_black_nude,,0
quest_item_fact_bck_1_carrot,,,,,,,,,,50,Принести Шнырьку морковку.,Принести Шнырьку морковку.,,fact_bck_1_q_yellow_carrot,,0
quest_item_fact_bck_2_boots,,,,,,,,,,50,Принести Серене ботинки.,Принести Серене ботинки.,,fact_bck_2_q_boots,,0
quest_item_fact_ent_cigarette,,,,,,,,,,50,Добыть сигарету для Бычка.,Добыть сигарету для Бычка.,,fact_ent_q_cigarette,,0
quest_item_farm_mine_supper,,,,,,,,,,50,Ваха просит найти продукты для коллективной жрачки.,Ваха просит найти продукты для коллективной жрачки.,,farm_mine_q_supper,,0
quest_item_dep_ammo_medikit,,,,,,,,,,50,Принести больному рабочему аптечку.,Принести больному рабочему аптечку.,,dep_ammo_q_medikit,,
quest_aryancent_falsh,,,,,,,,,,1000,Проверить информацию о фальшивомонетчиках.,Проверить информацию о фальшивомонетчиках.,,,,2
quest_aryancent_falsh_1,,,,,,,,,,500,Осуществить контрольную закупку.,Осуществить контрольную закупку.,,Setlem_q_white_falshmaster,,-1
quest_aryancent_falsh_2,,,,,,,,,,500,Доложить о результатах контрольной закупки.,Доложить о результатах контрольной закупки.,,aryancent_q_white_koznachey,,-1
quest_setlem_addbich,,,,,,,,,,500,Найти женщин для озабоченного лесоруба.,Найти женщин для озабоченного лесоруба.,,setlem_q_white_sexolog,,2
quest_setlem_addbich_1,,,,,,,,,,500,Договориться об экскурсиях в поселок Помпасово.,Договориться об экскурсиях в поселок Помпасово.,,norcity_yellow_steal4,,-1
quest_setlem_addbich_2,,,,,,,,,,500,Вернуться за вознаграждением.,Вернуться за вознаграждением.,,setlem_q_white_sexolog,,-1
quest_setlem_destroy,,,,,,,,,,1000,Освободить проституток.,Освободить проституток.,,"setlem_q_white_sexolog,setlem_white_sexolog_frend1,setlem_white_sexolog_frend2,setlem_white_sexolog_frend3,",,0
quest_aryanp_cleanup,,,,,,,,,,5000,"Уничтожить каннибалов, занявших арийскую промзону.","Уничтожить каннибалов, занявших арийскую промзону.",,,-,0
quest_aryanp_go_away,,,,,,,,,,5000,Пройти в подземелья за Джексоном-младшим.,Пройти в подземелья за Джексоном-младшим.,,,"aryanprodzone,13,34",0
quest_Boar_fuck_all,,,,,,,,,,3000,Поиметь всех проституток в Северном Городе.,Поиметь всех проституток в Северном Городе.,,,,0
quest_Sullen_fuck_all,,,,,,,,,,3000,Угрюмый хочет поиметь всех проституток в севреном городе.,Угрюмый хочет поиметь всех проституток в севреном городе.,,,,0
quest_Demon_fuck_all,,,,,,,,,,3000,Демон хочет поиметь всех проституток в Северном Городе.,Демон хочет поиметь всех проституток в Северном Городе.,,,,0
quest_Kruger_fuck_all,,,,,,,,,,3000,Крюгер хочет поиметь всех проституток в Севрном городе.,Крюгер хочет поиметь всех проституток в Севрном городе.,,,,0
quest_polcamp_talk_to_otto,,,,,,,,,,500,Поговорить с Отто Гуттенбергом.,Поговорить с Отто Гуттенбергом.,,OttoGuttenberg,,0
quest_polcamp_cleanup,,,,,,,,,,1000,Отбить атаки банды полицейских. Гуттенберг должен выжить.,Отбить атаки банды полицейских. Гуттенберг должен выжить.,,OttoGuttenberg,,0
quest_test_MZ,,,,,,,,,,100000,Тестовый квест +100000 Эксп.,Тестовый квест +100000 Эксп.,,,,0
quest_BANK_gopstop,,,,,,,,,,700,Провернуть дельце в банке конкретный.,Провернуть дельце в банке конкретный.,,,,2
quest_BANK_gopstop_1,,,,,,,,,,150,Ограбить Косаря.,Ограбить Косаря.,,Squint,,-1
quest_BANK_gopstop_2,,,,,,,,,,100,Отдать процент наводчику.,Отдать процент наводчику.,,sod_sou_q_navod,,-1
quest_prodzone_powerst_final,,,,,,,,,,100,Доложить Гуверу о смерти Волка.,Доложить Гуверу о смерти Волка.,,,"powerst,48,16",0
quest_aryancent_kill_inOHR,,,,,,,,,,5000,Йоган Штраус предлагает 15000 монет за голову Люптке Вайнера.,Йоган Штраус предлагает 15000 монет за голову Люптке Вайнера.,,"aryancent_q_white_officer_zagovor,aryancent_q_white_officer_inOHR",,0
quest_ayanwest_roma,,,,,,,,,,600,Убить всех Монте-Ки и освободить Джулю.,Убить всех Монте-Ки и освободить Джулю.,,"aryanwest_f_yellow_montek01,aryanwest_f_yellow_montek02,aryanwest_f_yellow_montek03,aryanwest_f_yellow_montek04,aryanwest_f_yellow_montek05,aryanwest_f_yellow_montek06,aryanwest_f_yellow_montek07,aryanwest_f_yellow_Julia",,0
quest_ayanwest_roma_cleanup,,,,,,,,,,400,Убить всех Капулянов.,Убить всех Капулянов.,,"aryanwest_f_black_Kapulane01,aryanwest_f_black_Kapulane02,aryanwest_f_black_Kapulane03,aryanwest_f_black_Kapulane04,aryanwest_f_black_Kapulane05",,0
quest_settlem_skinny,,,,,,,,,,200,Поиск алмаза для Усатого.,Поиск алмаза для Усатого.,,Skinny,,2
quest_settlem_skinny_1,,,,,,,,,,200,Обыскать свинобыков.,Обыскать свинобыков.,,,"settlem,22,73,settlem,42,56,settlem,18,26,settlem,65,21",-1
quest_settlem_skinny_2,,,,,,,,,,100,Доложить о результатах поисков.,Доложить о результатах поисков.,,,,-1
quest_blnorth_find_porno,,,,,,,,,,1500,Найти и принести рисунки порнушного содержания.,Найти и принести рисунки порнушного содержания.,,norcity_black_oldman,,0
quest_validol_attack_final,,,,,,,,,,1000,"Выбраться из трущоб, преодолев сопротивление.","Выбраться из трущоб, преодолев сопротивление.",,,"aryaneast,4,39",0
quest_albertgunner,,,albertgunner1,,aryantown_aryancent.ers,,,,,,Заступить на должность уборщика туалета.,Заступить на должность уборщика туалета.,,wc1,,0
quest_aryancent_ytrader_isDEAD_say,,,,,,,,,,1500,Рассказать про убийство Ли Бо.,Рассказать про убийство Ли Бо.,,aryancent_q_white_conrabandist,,0
quest_return_alisa_penetration,,,,,,,,,,500,Незаметно проникнуть в дом смотрящего и найти Алису.,Незаметно проникнуть в дом смотрящего и найти Алису.,"whitecenter,overseer",,-,0
quest_return_alisa_escape,,,,,,,,,,1000,Незаметно выйти с Алисой из дома смотрящего.,Незаметно выйти с Алисой из дома смотрящего.,,,"whitecenter,6,53",0
quest_escape_can_vill,,,,,,,,,,,Выбраться из людоедского посёлка.,Выбраться из людоедского посёлка.,,,"can_vill,2,51",0
quest_escape_can_entr,,,,,,,,,,,Выйти на дорогу к г. Северный.,Выйти на дорогу к г. Северный.,,,"can_entr,6,43",0
